Name,City,State,Total Enrollment,Enrollment Men,Enrollment Women,Another Gender,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
Alaska Bible College,Palmer,AK,39,23,16,0,0,0,1,1,0,35,2,0,0
Alaska Career College,Anchorage,AK,268,36,232,0,64,38,28,22,6,81,22,7,0
Alaska Christian College,Soldotna,AK,77,29,48,0,65,0,0,0,1,7,4,0,0
Alaska Pacific University,Anchorage,AK,595,132,463,37,150,35,24,9,11,204,28,128,6
Alaska Vocational Technical Center,Seward,AK,202,140,62,0,86,3,2,6,1,71,24,9,0
Ilisagvik College,Barrow,AK,179,57,122,1,119,12,4,7,15,20,0,2,0
University of Alaska Anchorage,Anchorage,AK,10464,4139,6325,114,537,743,316,969,226,5064,1073,1367,169
University of Alaska Fairbanks,Fairbanks,AK,6607,2531,4076,33,818,154,176,564,56,3502,629,534,174
University of Alaska Southeast,Juneau,AK,1923,669,1254,27,211,84,19,154,24,1055,217,142,17
Alabama A & M University,Normal,AL,6007,2369,3638,0,16,16,5136,63,8,119,66,473,110
Alabama College of Osteopathic Medicine,Dothan,AL,761,362,399,0,4,196,30,71,1,425,18,16,0
Alabama School of Nail Technology & Cosmetology,Jackson,AL,43,0,43,0,3,0,21,1,0,18,0,0,0
Alabama State University,Montgomery,AL,3828,1347,2481,0,8,12,3435,43,3,155,44,35,93
Amridge University,Montgomery,AL,647,278,369,0,5,4,356,17,4,247,0,14,0
Athens State University,Athens,AL,2894,887,2007,0,42,22,432,142,3,2120,91,31,11
Auburn University,Auburn,AL,31764,15678,16086,0,78,895,1560,1270,19,25007,873,109,1953
Auburn University at Montgomery,Montgomery,AL,5109,1900,3209,0,10,133,1985,78,3,1895,143,36,826
Bevill State Community College,Jasper,AL,3703,1495,2208,0,8,25,569,138,1,2803,125,33,1
Birmingham-Southern College,Birmingham,AL,975,512,463,0,1,22,147,54,0,716,13,1,21
Bishop State Community College,Mobile,AL,2968,1040,1928,4,25,57,1707,92,4,912,130,17,24
Blue Cliff Career College,Mobile,AL,37,5,32,0,1,0,7,3,0,25,1,0,0
Brown Beauty Barber School,Bessemer,AL,37,0,37,0,0,0,33,2,0,2,0,0,0
Cardiac and Vascular Institute of Ultrasound,Mobile,AL,51,12,39,0,1,2,3,0,0,45,0,0,0
Central Alabama Community College,Alexander City,AL,1777,751,1026,0,5,8,338,67,1,1268,75,9,6
Chattahoochee Valley Community College,Phenix City,AL,1641,560,1081,0,8,13,754,21,12,638,161,34,0
Coastal Alabama Community College,Bay Minette,AL,6800,2872,3928,0,99,52,1574,302,7,4364,336,43,23
Columbia Southern University,Orange Beach,AL,15948,9946,6002,0,158,314,2894,340,79,9129,416,2614,4
Enterprise State Community College,Enterprise,AL,2010,1011,999,4,24,31,363,132,3,1263,120,59,15
Faulkner University,Montgomery,AL,2817,1153,1664,0,17,42,954,109,4,1489,64,66,72
Fortis College,Mobile,AL,232,40,192,0,3,1,145,8,2,58,7,8,0
Fortis College,Mobile,AL,258,71,187,0,0,7,146,83,0,12,7,3,0
Fortis College-Dothan,Dothan,AL,127,27,100,0,0,0,100,0,0,24,3,0,0
Fortis College-Foley,Foley,AL,20,8,12,0,0,0,2,0,0,16,0,2,0
Fortis College-Montgomery,Montgomery,AL,215,83,132,0,0,0,187,10,0,12,6,0,0
Fortis Institute-Birmingham,Birmingham,AL,381,129,252,0,2,3,282,23,0,53,11,7,0
Gadsden State Community College,Gadsden,AL,4352,1664,2688,0,15,41,764,299,4,2988,180,10,51
George C Wallace Community College-Dothan,Dothan,AL,3832,1195,2637,0,8,42,1104,240,6,2234,160,32,6
George C Wallace State Community College-Hanceville,Hanceville,AL,5965,2172,3793,0,35,34,382,530,3,4731,209,8,33
George C Wallace State Community College-Selma,Selma,AL,1860,778,1082,0,3,10,1342,33,0,400,0,56,16
H Councill Trenholm State Community College,Montgomery,AL,1984,771,1213,0,5,21,1448,92,2,346,60,3,7
Heritage Christian University,Florence,AL,143,124,19,0,1,4,12,5,0,119,1,1,0
Herzing University-Birmingham,Birmingham,AL,578,126,452,0,2,4,375,12,1,161,12,11,0
Huntingdon College,Montgomery,AL,817,454,363,0,4,3,157,46,1,545,43,18,0
Huntsville Bible College,Huntsville,AL,92,36,56,0,0,0,86,0,0,6,0,0,0
J F Ingram State Technical College,Deatsville,AL,768,671,97,0,0,2,437,9,3,313,2,0,2
J. F. Drake State Community and Technical College,Huntsville,AL,976,388,588,14,3,2,587,77,1,230,53,11,12
Jacksonville State University,Jacksonville,AL,9632,3839,5793,0,44,61,2282,19,12,5993,0,1027,194
Jefferson State Community College,Birmingham,AL,8431,3090,5341,0,22,196,1893,643,5,5254,261,36,121
John C Calhoun State Community College,Tanner,AL,8163,3698,4465,0,92,178,1199,719,9,5355,490,65,56
Lawson State Community College,Birmingham,AL,2919,987,1932,5,3,7,2343,125,1,316,101,10,13
Lurleen B Wallace Community College,Andalusia,AL,1929,878,1051,0,7,17,352,68,2,1390,81,11,1
Marion Military Institute,Marion,AL,320,232,88,0,2,7,68,26,2,193,13,8,1
Midfield Institute of Cosmetology,Midfield,AL,12,0,12,0,0,0,12,0,0,0,0,0,0
Miles College,Fairfield,AL,1258,570,688,0,0,0,1196,8,0,40,13,1,0
New Beginning College of Cosmetology,Albertville,AL,45,0,45,0,0,0,0,10,0,34,0,1,0
Northeast Alabama Community College,Rainsville,AL,2590,902,1688,0,46,14,43,435,0,1813,196,32,11
Northwest-Shoals Community College,Muscle Shoals,AL,4032,1853,2179,0,34,26,329,409,4,3016,183,22,9
Oakwood University,Huntsville,AL,1470,632,838,0,3,4,1077,135,0,15,34,33,169
Paul Mitchell the School-Birmingham,Hoover,AL,142,3,139,0,0,0,27,8,1,106,0,0,0
Paul Mitchell the School-Huntsville,Madison,AL,110,2,108,0,0,1,21,3,0,82,3,0,0
Reid State Technical College,Evergreen,AL,434,196,238,0,4,3,259,2,0,150,15,0,1
Remington College-Mobile Campus,Mobile,AL,255,35,220,0,1,1,180,3,0,59,4,7,0
Ross Medical Education Center-Huntsville,Huntsville,AL,85,5,80,0,0,0,28,3,0,11,0,43,0
Samford University,Birmingham,AL,5682,1824,3858,0,7,108,496,234,6,4558,109,118,46
Selma University,Selma,AL,50,23,27,0,0,0,50,0,0,0,0,0,0
Shelton State Community College,Tuscaloosa,AL,4166,1698,2468,0,6,30,1589,200,5,2155,139,5,37
Snead State Community College,Boaz,AL,2507,928,1579,0,12,24,148,406,0,1812,83,12,10
South University-Montgomery,Montgomery,AL,361,49,312,1,0,2,269,6,1,71,2,6,4
Southern Union State Community College,Wadley,AL,4386,1937,2449,0,9,66,823,171,3,3023,146,111,34
Spring Hill College,Mobile,AL,1046,467,579,0,8,16,138,97,2,635,18,40,92
Stillman College,Tuscaloosa,AL,744,328,416,0,2,2,708,5,0,21,0,6,0
Strayer University-Alabama,Birmingham,AL,1380,265,1115,38,10,0,933,33,0,354,40,10,0
Talladega College,Talladega,AL,903,453,450,0,4,0,764,41,2,12,10,7,63
The Salon Professional Academy-Huntsville,Huntsville,AL,63,6,57,0,0,1,9,1,0,52,0,0,0
The University of Alabama,Tuscaloosa,AL,38644,16506,22138,0,134,608,4344,2137,41,27630,1277,1355,1118
Troy University,Troy,AL,14156,5098,9058,0,38,141,4473,727,19,7348,571,489,350
Tuskegee University,Tuskegee,AL,2570,912,1658,3,9,16,2168,61,46,51,0,219,0
United States Sports Academy,Daphne,AL,240,175,65,2,3,3,72,21,0,95,12,33,1
University Academy of Hair Design,Tuscaloosa,AL,44,0,44,0,0,0,22,1,0,21,0,0,0
University of Alabama at Birmingham,Birmingham,AL,21639,7903,13736,0,36,1551,4590,1111,10,11055,825,985,1476
University of Alabama in Huntsville,Huntsville,AL,9237,5333,3904,0,71,358,833,555,16,6342,354,347,361
University of Mobile,Mobile,AL,1804,698,1106,15,30,19,226,31,4,871,88,467,68
University of Montevallo,Montevallo,AL,2586,886,1700,0,9,11,446,171,4,1721,82,64,78
University of North Alabama,Florence,AL,9830,3490,6340,0,59,168,1166,492,11,6926,375,121,512
